0	0	1
1	1	0
2	2	3
3	3	2
4	4	5
5	5	4
6	0	7
7	1	6
8	0	9
9	1	8
10	0	11
11	1	10
12	6	13
13	7	12
14	8	15
15	9	14
16	10	17
17	11	16
18	12	19
19	13	18
20	8	13
13	9	20
21	14	22
22	15	21
23	8	24
24	9	23
25	0	26
26	1	25
27	8	6
6	9	27
28	4	29
29	5	28
30	4	31
31	5	30
32	4	33
33	5	32
34	10	35
35	11	34
36	4	37
37	5	36
38	8	39
39	9	38
40	16	41
41	17	40
6	14	42
42	15	6
43	4	44
44	5	43
45	6	13
13	7	45
46	4	6
6	5	46
47	18	48
48	19	47
49	4	33
33	5	49
50	8	39
39	9	50
51	14	52
52	15	51
53	16	54
54	17	53
55	2	56
56	3	55
57	14	58
58	15	57
59	4	31
31	5	59
60	6	61
61	7	60
62	14	63
63	15	62
64	14	65
65	15	64
66	6	67
67	7	66
68	10	69
69	11	68
70	4	71
71	5	70
72	8	73
73	9	72
74	4	0
0	5	74
53	16	75
75	17	53
2	14	76
76	15	2
77	14	78
78	15	77
79	2	53
53	3	79
80	6	81
81	7	80
56	16	82
82	17	56
13	14	83
83	15	13
84	8	85
85	9	84
86	10	87
87	11	86
88	8	89
89	9	88
90	20	91
91	21	90
92	10	93
93	11	92
94	4	95
95	5	94
96	10	97
97	11	96
98	12	95
95	13	98
99	10	100
100	11	99
101	8	102
102	9	101
103	4	104
104	5	103
105	10	106
106	11	105
107	10	108
108	11	107
109	6	110
110	7	109
111	4	112
112	5	111
113	0	114
114	1	113
115	8	110
110	9	115
116	4	102
102	5	116
117	8	118
118	9	117
119	16	120
120	17	119
121	20	122
122	21	121
123	20	71
71	21	123
124	6	125
125	7	124
126	8	44
44	9	126
127	8	13
13	9	127
128	16	129
129	17	128
130	4	131
131	5	130
132	8	25
25	9	132
133	10	134
134	11	133
135	10	136
136	11	135
137	0	1
1	1	137
131	14	138
138	15	131
139	16	140
140	17	139
141	16	142
142	17	141
143	4	131
131	5	143
144	4	145
145	5	144
146	8	147
147	9	146
148	14	149
149	15	148
150	4	8
8	5	150
151	10	152
152	11	151
153	10	154
154	11	153
155	6	19
19	7	155
156	6	157
157	7	156
158	4	159
159	5	158
160	4	25
25	5	160
161	2	3
3	3	161
162	10	163
163	11	162
164	8	125
125	9	164
39	0	165
165	1	39
166	18	114
114	19	166
53	16	167
167	17	53
168	16	169
169	17	168
170	10	171
171	11	170
172	18	173
173	19	172
24	14	174
174	15	24
175	0	176
176	1	175
55	22	177
177	23	55
178	14	179
179	15	178
180	6	181
181	7	180
182	0	183
183	1	182
184	24	185
185	25	184
33	14	186
186	15	33
187	20	188
188	21	187
71	26	189
189	27	71
190	2	53
53	3	190
8	0	191
191	1	8
109	6	192
192	7	109
193	8	122
122	9	193
53	16	194
194	17	53
77	14	195
195	15	77
196	2	197
197	3	196
198	4	24
24	5	198
199	4	67
67	5	199
200	2	201
201	3	200
202	18	203
203	19	202
204	8	85
85	9	204
205	8	118
118	9	205
206	8	207
207	9	206
167	6	148
148	7	167
208	10	209
209	11	208
210	4	79
79	5	210
145	0	211
211	1	145
212	0	139
139	1	212
15	14	213
213	15	15
214	2	56
56	3	214
215	4	2
2	5	215
53	16	216
216	17	53
33	22	217
217	23	33
218	10	219
219	11	218
220	4	192
192	5	220
221	2	222
222	3	221
223	8	71
71	9	223
224	20	225
225	21	224
226	14	227
227	15	226
228	6	190
190	7	228
229	4	145
145	5	229
230	8	231
231	9	230
232	20	175
175	21	232
233	2	3
3	3	233
234	8	231
231	9	234
71	14	235
235	15	71
236	8	147
147	9	236
81	14	237
237	15	81
238	8	44
44	9	238
239	4	39
39	5	239
240	10	241
241	11	240
242	10	243
243	11	242
110	14	244
244	15	110
245	26	246
246	27	245
247	10	248
248	11	247
249	20	25
25	21	249
250	10	251
251	11	250
252	4	253
253	5	252
85	14	254
254	15	85
255	18	256
256	19	255
3	16	257
257	17	3
161	2	222
222	3	161
85	0	258
258	1	85
259	8	181
181	9	259
91	14	260
260	15	91
261	10	262
262	11	261
263	8	264
264	9	263
265	14	266
266	15	265
3	16	267
267	17	3
55	14	268
268	15	55
85	2	53
53	3	85
269	4	102
102	5	269
270	8	271
271	9	270
272	10	273
273	11	272
274	20	102
102	21	274
275	10	276
276	11	275
277	20	79
79	21	277
278	8	137
137	9	278
279	8	147
147	9	279
280	2	281
281	3	280
118	0	282
282	1	118
182	14	283
283	15	182
284	16	285
285	17	284
155	6	95
95	7	155
286	14	287
287	15	286
129	20	24
24	21	129
288	4	61
61	5	288
289	14	290
290	15	289
291	2	222
222	3	291
292	8	289
289	9	292
167	6	33
33	7	167
293	16	294
294	17	293
295	18	296
296	19	295
181	0	1
1	1	181
297	8	13
13	9	297
298	8	175
175	9	298
299	8	161
161	9	299
300	4	79
